Document ,Excerpt Copy,Code
CHRG-110hhrg45626.htm,"    And so I just want to make it clear that part of what I 
want to make sure to do is to protect programs for low- and 
moderate-income people to be able to gain housing. And I 
personally am not going to just sit by and let people trash 
programs that have helped folks get into housing who have been 
struggling to get it.",20
CHRG-110hhrg2032.htm,"    Let me say that I think the moral case for debt relief is 
almost self-evident. No matter what you think about past 
practices, and in many cases, past practices were wrong on the 
part of the borrowing countries, on the part of the lending 
institutions in countries, whatever you think, sadly today, 
overwhelmingly the victims are innocent people, residents of 
these countries, and our job is to alleviate their misery. 
There is a great deal of talk about how we go forward with 
economic development, and there are legitimate concerns about 
that. But there is no room for any intellectual doubt that 
getting rid of this overhang of debt is an essential 
precondition to any progress.",20
hearing 83.txt,"    Now it is time to open up the next part of that, and I think it is time now to start talking about a preemptive strike against recession and against disinflation. And it is interesting, given the biases in the financial community, that the notion of a preemptive strike against inflation is the model of fiscal responsibility, but talking about a preemptive strike against a turn-down in the economy will shock some people. But it is clearly where we ought to be.",20
CHRG-110hhrg3520.htm,"   However, I couldn't disagree more with the proposed cuts to 
Federal housing programs that are tailored to meet the housing 
needs of the disabled and our seniors, Section 811 and 202 
programs. Cutting in half the budgets for these two programs in 
the absence of comprehensive reform constitutes a great 
disservice to our seniors and disabled citizens.",21
CHRG-109hhrg25875.htm,"   The moral argument for canceling the debt, the debt would 
have to be repaid by very poor people who got very little 
benefit when it was incurred. There is no point in cracking 
down on debt collection when it comes from the people who were 
not the beneficiaries of the indebtedness. That is why we are 
not talking about an individual who borrowed money and 
forgiving that individual. We are talking about poor people who 
have been victimized, and debt cancellation is a way of 
recognizing that.",20
CHRG-110hhrg3520.htm,"  About one-third of the residents in my congressional 
district are elderly. That figure will only grow as the Baby 
Boomer Generation continues to age. In order to ensure that my 
constituents are well served in 2008, I will support level 
funding this year for Sections 811 and 202 as we work to reform 
these programs, but I would like, Mr. Secretary, a commitment 
from you today that we will work together to review and reform 
Section 811 and Section 202 programs.",21
CHRG-110hhrg3520.htm,"  In particular, many of us believe that the time has come to 
get the Federal Government back in the business of either 
preserving or constructing affordable housing units. The 
Section 8 program and its various components does add equity to 
the housing market. It gives people who don't have enough money 
to afford decent housing the ability to do so.",20
CHRG-109hhrg30537.htm,"  Mr. Neugebauer. Because Secretary Jackson comes over a 
number of times a month, and he says over and over and over 
again, that this voucher program is squeezing the life out of 
the housing program in this country. What kind of things do we 
look for--in other words, if you go--let's say that you go to a 
voucher program, how are you going to handle the competition 
between the funds for building new housing in rural America and 
offering the voucher assistance at the same time out of the ",21
CHRG-110hhrg37553.htm,"  Some argue, well, we must protect the poor from spending 
their money unwisely. I reject that. If you want to help poor 
people, there are other ways to do it.",20
CHRG-110hhrg3520.htm,"  We have the capacity, working particularly with private 
developers, both profit and nonprofit, to have Federal help so 
that housing is constructed in a way that is good for the 
people who live there and good for the neighborhoods in which 
those people live, and we will be working on that.",20
