Document ,Excerpt Copy,Code
NHTF Hearing.txt," am also here today to share new evidence that shows that 
housing is the foundation to excellent child health. I hope to convince 
you that the best medical intervention for children is often 
finding them an affordable home, and it is within your power to 
keep kids healthy through housing. 

As many of you know, there are millions of families on affordable 
housing waiting lists. And in Boston, it is not unusual for waiting 
lists to actually close because there are so many families who are 
waiting and therefore they can’t even apply. Even families in homeless 
shelters are often there for over a year-and-a-half before they 
can get a home that they can afford. And often families who are 
on the waiting lists are forced to make terrible choices between 
rent and food, or settling on a home with severe housing problems 
like infestations or mold or lead paint because simply that is all 
that they can afford. 

We know from the Children’s Sentinel Nutrition Assessment Program, 
which is commonly known as CSNAP, that food-insecure 
children who are eligible but don’t receive housing subsidies are 
twice as likely as those who do receive housing subsidies to have 
stunted growth by WHO criteria. It is an important aspect of this 
bill because it targets the lowest income families, the ones that are 
most likely to have food-insecure children, and that by giving them 
an affordable home, you may be able to prevent stunting from occurring. 


As you know, stunting not only limits children’s physical growth 
in the short term, but it stunts their lifelong potential because we 
know that if your body is not growing, your mind is not growing 
as well. 

Because many families have very limited choices of homes that 
they can afford and have to make tradeoffs, they often live in substandard 
conditions. For instance, I think that the cockroach infestation 
is an excellent example of how that affects health. We know 
that children who have asthma who are exposed to cockroaches in 
their home and are allergic are 3 times more likely to end up in 
the hospital. 

It is also known that 30 percent of children who live in the urban 
areas are allergic, but it may be surprising to note that 20 percent 
of suburban children are also exposed and are allergic to cockroaches. 
And further, new data suggests that exposure to cockroaches 
in early life may actually cause immune system changes 
that can lead to the development of wheezing or asthma. 

Young children who live with other substandard exposures, such 
as lead paint from older homes, can also lead to problems with development, 
and recent estimates have estimated that this leads to 
billions of dollars in education and other costs. 

Lastly, families who have difficulty affording rent may double up 
with other families, resulting in crowding, or these families may 


67 


frequently move. We know children who stay in the same home 
and do not more frequently have better child development outcomes 
and do better in school. ",33
NHTF Hearing.txt," And since we have 
enacted pro-growth tax policies in 2003, we have had 8.2 million 
new jobs created. And yet many in this House and many on the 
committee want the tax relief to go away. And, as you take away 
the tax relief, you begin to take away the jobs. 

Secondly, if we truly care about affordable housing, we need to 
realize how the single largest tax increase in American history contained 
within the Democrat budget resolution, how that impacts 
families who are trying to make their homes affordable. 

I hear from constituents in my district. I hear from the Brucker 
Family in Wills Point who writes, ‘‘No increase in taxes. My family 
is only one breath away from losing our home as it is.’’ 

I hear from the Stevens Family in Forney, Texas, ‘‘If our taxes 
increased $2,755, we would not be able to pay our mortgage.’’ And 
the list goes on and on and on. We need to realize that more spending 
fuels more taxes which makes homes less affordable. 

Third, it seems ironic to me that we would increase taxes on 
some, make housing less affordable for many low- and middle-income 
Americans because we know that Fannie Mae and Freddie 
Mac are an effectively a government protected duopoly. They have 
great economic power to simply pass along these fees or taxes, if 
you will, ultimately to the consumer. And so this is a mortgage tax, 
pure and simple. ",33
HR1892 hearing.txt," By 
the way, that pool of borrowers that we have profiles that we can 
look at is some 4.5 million or so different risk profiles. ",33
NHTF Hearing.txt," FHA premiums to provide money for the affordable housing 
fund, but you’re wanting the 17.5 percent increase on the multifamily, 
which is increasing it, and yet every year FHA makes a 
profit and it goes to the Treasury basically. 

I guess one problem I have is—I’m not arguing but I have a real 
problem with the comment you made on the downpayment assistance 
program that it’s very risky, and that’s the private sector 
helping with downpayment assistance for an individual. Yet the 
American Dream Downpayment Assistance Act, which is the government 
giving people for a downpayment is good. ",33
NHTF Hearing.txt," HUD’s own worst case housing needs analysis 
shows that the number of low-income—and many of the families 
who will be targeted by this fund, the number of families who need 
that sort of assistance has gone up. 

Sadly that has gone up by 800,000 families between 2003 and 
2005. It’s one of the reasons why we have proposed as part of our 
2008 budget a demonstration program at least in the case of low-
income seniors and persons with disabilities, the way that we can 
leverage our limited resources through tax credits and private ac



18 


tivity bonds to use those funds, to spread them out perhaps as 
bridge funds so HUD is not the only funding source impossible. 

One of the areas that again is of most concern to me is housing 
for seniors and for persons with disabilities, and I do share in that 
goal of what the fund would try to do, and that is to help more 
families at the extremely-low-income figure, at 30 percent and 
below. ",33
HR1892 hearing.txt," In 2006—is that better—1.2 million families entered 
into foreclosure, 42 percent more than in 2005. Predatory 
lending, exotic mortgages, and a dramatic rise in subprime lend-
ing,coupled with slowing home price appreciation have all contributed 
to this crisis. When the Federal Housing Administration was 
established back in 1934, consumers faced a similar lending crisis. 
At that time, FHA was an innovator and led the private market 
in offering safe, affordable home loans to American families. Since 
its inception, FHA has insured more than 34 million properties. 
However, the FHA has failed to keep pace with borrower needs and 
changes in the private market and is no longer a viable alternative 
for many borrowers. At the same time, the subprime and non-traditional 
mortgage markets have boomed. Many of these loans offer 
low teaser rates which reset to much higher rates after a few years. 
In many cases, these borrowers qualified only on their ability to 
make the initial payment and face large prepayment penalties if 
they attempt to refinance. Mortgage experts estimate that approximately 
$1.5 trillion worth of adjustable mortgages will reset by the 
end of 2007. Faced with significantly higher monthly payments, 
many borrowers will face the possibility of losing their homes. ",33
NHTF Hearing.txt," in Alexandria, we have 
had a housing trust fund since 1993. Primarily, it was funded by 
developer voluntary contributions and then a few years ago, we 
dedicated one cent of our annual real estate tax rate to creating 
and continuing to fund our affordable housing trust fund. 

More recently, again through a public/private partnership, because 
Alexandria is so dense, but yet we have a critical need to 
meet our affordable housing objectives, we have the opportunity to 
build for the first time in more than 30 years a new fire station 
in our City, a new development area, and one of the solutions or 
compromise with the community in terms of building this four bay 
fire station was the need to ensure that we provided affordable 
housing and workforce housing. 

For the first time, we believe we are the first community in the 
Nation, we are building a new fire station that will have 64 units 
of public housing and workforce housing built on top of the fire station 
in a very growing community. ",33
HR1892 hearing.txt," In areas such as California, we have 
an FHA program that has been available for 70 years. And if you 
look at the drop in utilization in California because we are a high 
cost area, it is really stunning. In 2000, FHA insured 109,074 mortgages 
in California. In 2005, it was 51,037. In my district alone in 
2000, we had 7,000 mortgages. It dropped to 80. You are looking 
at a 99 percent drop in an area that arguably needs the benefit of 
an FHA program or a conforming program as much as any other 
State in the Nation does. In fact, in high cost areas it is much 
harder for people to get into",33
HR1892 hearing.txt," My 
bill allows any FHA-qualified borrower to participate in the new 
FHA low loan program. Second, the Frank-Waters bill authorizes 
the FHA to implement risk-based pricing but it leaves in place the 
current outdated premium caps of 2.25 percent up-front and 0.55 percent annually. And the zero and lower down payment loans  would have the higher caps. My concern is that these limits on premium caps will prevent FHA from serving riskier borrowers who  could be prudently served by charging a slightly higher premium.  With the flexibility to charge slightly higher premiums, FHA would  be able to serve borrowers with the lower FICO scores who are currently  being served only by the subprime market at very high interest  rates. With FHA mortgage insurance, lenders will charge 
borrowers the market mortgage interest rate. Without FHA insurance, 
they have no choice but to turn the borrower away or to 
charge for a risk in an increased mortgage interest rate. ",33
NHTF Hearing.txt," Unfortunately, whether it is a State budget or 
Federal budget, there is no free lunch. To agree there is a—and I 
will use the term ‘‘benign,’’ for lack of better—funding source, since 
everybody has to answer to the appropriators and to the authorizers, 
if they can find that source, which many States have done, 
Florida has been able to raise $200- to $300 million through a real 
estate transfer tax, and some other States you will hear from later 
have done a wonderful job through document recording fees and 
other sources. 

I think it is very key. I think we all share in the goal of what 
the fund would do and what HUD does, but again, the key is what 
is the funding source. ",33
