Document ,Excerpt Copy,Code
CHRG-110hhrg45626.htm,"    And so I just want to make it clear that part of what I 
want to make sure to do is to protect programs for low- and 
moderate-income people to be able to gain housing. And I 
personally am not going to just sit by and let people trash 
programs that have helped folks get into housing who have been 
struggling to get it.",12
CHRG-110hhrg40432.htm,"    Let me say that I think the moral case for debt relief is 
almost self-evident. No matter what you think about past 
practices, and in many cases, past practices were wrong on the 
part of the borrowing countries, on the part of the lending 
institutions in countries, whatever you think, sadly today, 
overwhelmingly the victims are innocent people, residents of 
these countries, and our job is to alleviate their misery. 
There is a great deal of talk about how we go forward with 
economic development, and there are legitimate concerns about 
that. But there is no room for any intellectual doubt that 
getting rid of this overhang of debt is an essential 
precondition to any progress.",12
hearing 83.txt,"    Now it is time to open up the next part of that, and I think it is time now to start talking about a preemptive strike against recession and against disinflation. And it is interesting, given the biases in the financial community, that the notion of a preemptive strike against inflation is the model of fiscal responsibility, but talking about a preemptive strike against a turn-down in the economy will shock some people. But it is clearly where we ought to be.",12
CHRG-109hhrg25875.htm,"   The moral argument for canceling the debt, the debt would 
have to be repaid by very poor people who got very little 
benefit when it was incurred. There is no point in cracking 
down on debt collection when it comes from the people who were 
not the beneficiaries of the indebtedness. That is why we are 
not talking about an individual who borrowed money and 
forgiving that individual. We are talking about poor people who 
have been victimized, and debt cancellation is a way of 
recognizing that.",12
hearing 83.txt,"  I have always felt the core of the free enterprise system is to allow individuals or businesses to make business judgments they deem best for themselves or their investors. And it seems a bit ironic in a day and time when literally billions of dollars are being traded this morning in electronic commerce or billions of dollars are changing hands in business products that simply did not exist a decade ago, that we expect the laws written in the 1930's to possibly keep pace with the market.",13
CHRG-110hhrg35406.htm,"  In particular, many of us believe that the time has come to 
get the Federal Government back in the business of either 
preserving or constructing affordable housing units. The 
Section 8 program and its various components does add equity to 
the housing market. It gives people who don't have enough money 
to afford decent housing the ability to do so.",12
CHRG-110hhrg37553.htm,"  Some argue, well, we must protect the poor from spending 
their money unwisely. I reject that. If you want to help poor 
people, there are other ways to do it.",12
CHRG-110hhrg35406.htm,"  We have the capacity, working particularly with private 
developers, both profit and nonprofit, to have Federal help so 
that housing is constructed in a way that is good for the 
people who live there and good for the neighborhoods in which 
those people live, and we will be working on that.",12
CHRG-107hhrg77785.htm," A few years ago it seemed to me we were close to a 
consensus among policymakers that essentially all you needed to 
do was to remove the restrictions on capital and let capital 
find its most profitable niche anywhere in the world, and we 
would be, on the whole, better off. I think that that has been 
disproven by a good number of events. Clearly, the thrust of 
the New Deal was to say, yes, we want capital to be able to 
find its best area of return, but not without other factors 
being taken into account. Again, it's much harder to do that 
internationally.",12
NHTF Hearing.txt," am also here today to share new evidence that shows that 
housing is the foundation to excellent child health. I hope to convince 
you that the best medical intervention for children is often 
finding them an affordable home, and it is within your power to 
keep kids healthy through housing. 

As many of you know, there are millions of families on affordable 
housing waiting lists. And in Boston, it is not unusual for waiting 
lists to actually close because there are so many families who are 
waiting and therefore they can’t even apply. Even families in homeless 
shelters are often there for over a year-and-a-half before they 
can get a home that they can afford. And often families who are 
on the waiting lists are forced to make terrible choices between 
rent and food, or settling on a home with severe housing problems 
like infestations or mold or lead paint because simply that is all 
that they can afford. 

We know from the Children’s Sentinel Nutrition Assessment Program, 
which is commonly known as CSNAP, that food-insecure 
children who are eligible but don’t receive housing subsidies are 
twice as likely as those who do receive housing subsidies to have 
stunted growth by WHO criteria. It is an important aspect of this 
bill because it targets the lowest income families, the ones that are 
most likely to have food-insecure children, and that by giving them 
an affordable home, you may be able to prevent stunting from occurring. 


As you know, stunting not only limits children’s physical growth 
in the short term, but it stunts their lifelong potential because we 
know that if your body is not growing, your mind is not growing 
as well. 

Because many families have very limited choices of homes that 
they can afford and have to make tradeoffs, they often live in substandard 
conditions. For instance, I think that the cockroach infestation 
is an excellent example of how that affects health. We know 
that children who have asthma who are exposed to cockroaches in 
their home and are allergic are 3 times more likely to end up in 
the hospital. 

It is also known that 30 percent of children who live in the urban 
areas are allergic, but it may be surprising to note that 20 percent 
of suburban children are also exposed and are allergic to cockroaches. 
And further, new data suggests that exposure to cockroaches 
in early life may actually cause immune system changes 
that can lead to the development of wheezing or asthma. 

Young children who live with other substandard exposures, such 
as lead paint from older homes, can also lead to problems with development, 
and recent estimates have estimated that this leads to 
billions of dollars in education and other costs. 

Lastly, families who have difficulty affording rent may double up 
with other families, resulting in crowding, or these families may 


67 


frequently move. We know children who stay in the same home 
and do not more frequently have better child development outcomes 
and do better in school. ",12
