Document ,Excerpt Copy,Code
CHRG-110hhrg35406.htm,"   However, I couldn't disagree more with the proposed cuts to 
Federal housing programs that are tailored to meet the housing 
needs of the disabled and our seniors, Section 811 and 202 
programs. Cutting in half the budgets for these two programs in 
the absence of comprehensive reform constitutes a great 
disservice to our seniors and disabled citizens.",16
CHRG-109hhrg25875.htm,"   The moral argument for canceling the debt, the debt would 
have to be repaid by very poor people who got very little 
benefit when it was incurred. There is no point in cracking 
down on debt collection when it comes from the people who were 
not the beneficiaries of the indebtedness. That is why we are 
not talking about an individual who borrowed money and 
forgiving that individual. We are talking about poor people who 
have been victimized, and debt cancellation is a way of 
recognizing that.",15
CHRG-110hhrg35406.htm,"  In particular, many of us believe that the time has come to 
get the Federal Government back in the business of either 
preserving or constructing affordable housing units. The 
Section 8 program and its various components does add equity to 
the housing market. It gives people who don't have enough money 
to afford decent housing the ability to do so.",15
CHRG-109hhrg30537.htm,"  Mr. Neugebauer. Because Secretary Jackson comes over a 
number of times a month, and he says over and over and over 
again, that this voucher program is squeezing the life out of 
the housing program in this country. What kind of things do we 
look for--in other words, if you go--let's say that you go to a 
voucher program, how are you going to handle the competition 
between the funds for building new housing in rural America and 
offering the voucher assistance at the same time out of the ",16
CHRG-110hhrg35406.htm,"  We have the capacity, working particularly with private 
developers, both profit and nonprofit, to have Federal help so 
that housing is constructed in a way that is good for the 
people who live there and good for the neighborhoods in which 
those people live, and we will be working on that.",15
CHRG-110hhrg41181.htm," A lot of my complaints from our 
small community banks are about the compliance cost of CRA.",16
NHTF Hearing.txt," a trust fund has dedicated sources 
of revenue, and that the State and local trust funds that this actually 
does more closely resemble, the ones that have been the most 
successful and the ones that have been sustainable and the ones 
that have been able to really make a huge difference, are the ones 
that have dedicated sources of revenue. 

And generally, that is where folks have moved to. So we have 
just heard Mayor Euille describe what they did eventually to get 
to what it is that they are putting in there. And so that is why you 
create this and then you figure out what you are going to do with 
it. 

There are two objectives: One, getting more production dollars 
for ELI households; and two, having dedicated sources of revenue 
that we can rely on over time. ",15
NHTF Hearing.txt," Again, it targets most of the funds toward 30 
percent of AMFI or below. What you have described to me, it could 
be difficult, although I think we all agree that is a good goal, which 
is what we try to do under the HOME program as well. ",16
CHRG-110hhrg35406.htm," At the same time that we're facing this housing crisis, 
funding for public and other affordable housing has been cut 
from the President's budget, and I just cite the CDBG program. 
It was cut $700 million; that's $58 million to New York City. 
So my question to you is, what is HUD doing to ensure that 
those who were exposed to predatory mortgage practices are able 
to refinance or otherwise stay in their homes?",15
CHRG-110hhrg35406.htm," At the same time that we're facing this housing crisis, 
funding for public and other affordable housing has been cut 
from the President's budget, and I just cite the CDBG program. 
It was cut $700 million; that's $58 million to New York City. 
So my question to you is, what is HUD doing to ensure that 
those who were exposed to predatory mortgage practices are able 
to refinance or otherwise stay in their homes?",15
HR1892 hearing.txt," being able to help borrowers having the maximum 
flexibility on the up-front premiums and on the annual premiums 
would allow us to help higher risk, lower FICO score borrowers 
in an actuarial sound manner. And, again, we are helping 
many today and it is our strong belief we can help many more with 
a reformed, modernized FHA",16
HR1892 hearing.txt," being able to participate 
in FHA programs a broader spectrum and making it less onerous 
for some of our mortgage brokers to participate in some of the 
requirements that we are putting on them. In",16
HR1892 hearing.txt," believe that this FHA legislation 
is critically important to bringing stability to the mortgage lending 
market, particularly at the lower spectrum of the market. ",15
GSE hearing.txt," Beyond that top level of 
subprime loans, what is the ability of GSE reform to really affect 
some of the issues happening at the origination of many of these 
subprime loans? 

It just seems that maybe we do need to have a broader conversation 
about a more comprehensive regulatory system that takes into 


31 


consideration many of the excesses within the subprime market. I 
just am not seeing right now that GSE—or maybe I should ask the 
question. What are the limitations of reform of GSEs, in terms of 
some of the things we have been seeing within the subprime market? ",15
NHTF Hearing.txt," First, because the trust fund is financed through 
self-defeating provisions in both the GSE reform bill and the FHA 
reauthorization bill, low- and middle-income Americans, including 
the elderly, will have to foot the bill. ",16
NHTF Hearing.txt," First, the national 
housing trust fund is important because it is such a focused 
tool. Across the entire spectrum of housing, starting with housing 
shelters and supportive housing and subsidized rentals and public 
housing, market rentals, entry level home ownership and move up 
housing across that entire continuum, the greatest need, the greatest 
suffering is among families, individuals, and households below 
30 percent of median income, the extremely-low-income families of 
our country. 

To address their needs, to produce housing that touches the entire 
first part of this continuum, from homelessness through these 
various first steps, we need units, production, and housing stock, 
that low-income people can access. 

We need units so that homeless people can access the Housing 
First concept. We have to have housing units for them to be able 
to move out of homelessness. 

We need supportive housing with services. We need low-income 
rental stock. I am in the home ownership business personally, but 
I acknowledge the absolute most pressing need before the country 
in housing is the lowest income rental stock. 

We need housing that works with other programs, such as public 
housing, and we need housing that works in conjunction with market 
housing, so that flexibility is possible to take something like 


42 


this fund and match it to market housing, 20 percent or 25 percent 
of a market development. 

There is no Federal program today targeted precisely in this way 
or on this scale. We need this focused new production program. 
Point one. ",15
NHTF Hearing.txt," guess one problem I have is—I’m not arguing but I have a real 
problem with the comment you made on the downpayment assistance 
program that it’s very risky, and that’s the private sector 
helping with downpayment assistance for an individual. Yet the 
American Dream Downpayment Assistance Act, which is the government 
giving people for a downpayment is good. 

It seems like if you use the same underwriting criteria that you 
would use for zero downpayment or the American Dream Downpayment 
Act, same criteria. Why would one be more risky than the 
other if the underwriting criteria is equal? ",15
