Document ,Excerpt Copy,Code
CHRG-110hhrg35406.htm,"  About one-third of the residents in my congressional 
district are elderly. That figure will only grow as the Baby 
Boomer Generation continues to age. In order to ensure that my 
constituents are well served in 2008, I will support level 
funding this year for Sections 811 and 202 as we work to reform 
these programs, but I would like, Mr. Secretary, a commitment 
from you today that we will work together to review and reform 
Section 811 and Section 202 programs.",32
NHTF Hearing.txt," am also here today to share new evidence that shows that 
housing is the foundation to excellent child health. I hope to convince 
you that the best medical intervention for children is often 
finding them an affordable home, and it is within your power to 
keep kids healthy through housing. 

As many of you know, there are millions of families on affordable 
housing waiting lists. And in Boston, it is not unusual for waiting 
lists to actually close because there are so many families who are 
waiting and therefore they can’t even apply. Even families in homeless 
shelters are often there for over a year-and-a-half before they 
can get a home that they can afford. And often families who are 
on the waiting lists are forced to make terrible choices between 
rent and food, or settling on a home with severe housing problems 
like infestations or mold or lead paint because simply that is all 
that they can afford. 

We know from the Children’s Sentinel Nutrition Assessment Program, 
which is commonly known as CSNAP, that food-insecure 
children who are eligible but don’t receive housing subsidies are 
twice as likely as those who do receive housing subsidies to have 
stunted growth by WHO criteria. It is an important aspect of this 
bill because it targets the lowest income families, the ones that are 
most likely to have food-insecure children, and that by giving them 
an affordable home, you may be able to prevent stunting from occurring. 


As you know, stunting not only limits children’s physical growth 
in the short term, but it stunts their lifelong potential because we 
know that if your body is not growing, your mind is not growing 
as well. 

Because many families have very limited choices of homes that 
they can afford and have to make tradeoffs, they often live in substandard 
conditions. For instance, I think that the cockroach infestation 
is an excellent example of how that affects health. We know 
that children who have asthma who are exposed to cockroaches in 
their home and are allergic are 3 times more likely to end up in 
the hospital. 

It is also known that 30 percent of children who live in the urban 
areas are allergic, but it may be surprising to note that 20 percent 
of suburban children are also exposed and are allergic to cockroaches. 
And further, new data suggests that exposure to cockroaches 
in early life may actually cause immune system changes 
that can lead to the development of wheezing or asthma. 

Young children who live with other substandard exposures, such 
as lead paint from older homes, can also lead to problems with development, 
and recent estimates have estimated that this leads to 
billions of dollars in education and other costs. 

Lastly, families who have difficulty affording rent may double up 
with other families, resulting in crowding, or these families may 


67 


frequently move. We know children who stay in the same home 
and do not more frequently have better child development outcomes 
and do better in school. ",33
NHTF Hearing.txt," And since we have 
enacted pro-growth tax policies in 2003, we have had 8.2 million 
new jobs created. And yet many in this House and many on the 
committee want the tax relief to go away. And, as you take away 
the tax relief, you begin to take away the jobs. 

Secondly, if we truly care about affordable housing, we need to 
realize how the single largest tax increase in American history contained 
within the Democrat budget resolution, how that impacts 
families who are trying to make their homes affordable. 

I hear from constituents in my district. I hear from the Brucker 
Family in Wills Point who writes, ‘‘No increase in taxes. My family 
is only one breath away from losing our home as it is.’’ 

I hear from the Stevens Family in Forney, Texas, ‘‘If our taxes 
increased $2,755, we would not be able to pay our mortgage.’’ And 
the list goes on and on and on. We need to realize that more spending 
fuels more taxes which makes homes less affordable. 

Third, it seems ironic to me that we would increase taxes on 
some, make housing less affordable for many low- and middle-income 
Americans because we know that Fannie Mae and Freddie 
Mac are an effectively a government protected duopoly. They have 
great economic power to simply pass along these fees or taxes, if 
you will, ultimately to the consumer. And so this is a mortgage tax, 
pure and simple. ",33
CHRG-109hhrg30537.htm," And the other problem is that our national housing policy 
is far too unbalanced in favor of single family home ownership. 
The imbalance makes it very difficult to find the resources to 
build and maintain decent affordable rental housing for lower 
income Americans.",32
NHTF Hearing.txt," As a former mayor of a community where about 
73 percent of the student body fell below the poverty level, one of 
the biggest issues I confronted in my 12 years as mayor was affordable 
housing",32
HR1892 hearing.txt," By 
the way, that pool of borrowers that we have profiles that we can 
look at is some 4.5 million or so different risk profiles. ",33
NHTF Hearing.txt," do not think you will hear from States 
that they think the HOME program is ineffective. I think you 
would probably hear that they need more money. ",32
NHTF Hearing.txt," FHA premiums to provide money for the affordable housing 
fund, but you’re wanting the 17.5 percent increase on the multifamily, 
which is increasing it, and yet every year FHA makes a 
profit and it goes to the Treasury basically. 

I guess one problem I have is—I’m not arguing but I have a real 
problem with the comment you made on the downpayment assistance 
program that it’s very risky, and that’s the private sector 
helping with downpayment assistance for an individual. Yet the 
American Dream Downpayment Assistance Act, which is the government 
giving people for a downpayment is good. ",33
NHTF Hearing.txt," HUD’s own worst case housing needs analysis 
shows that the number of low-income—and many of the families 
who will be targeted by this fund, the number of families who need 
that sort of assistance has gone up. 

Sadly that has gone up by 800,000 families between 2003 and 
2005. It’s one of the reasons why we have proposed as part of our 
2008 budget a demonstration program at least in the case of low-
income seniors and persons with disabilities, the way that we can 
leverage our limited resources through tax credits and private ac



18 


tivity bonds to use those funds, to spread them out perhaps as 
bridge funds so HUD is not the only funding source impossible. 

One of the areas that again is of most concern to me is housing 
for seniors and for persons with disabilities, and I do share in that 
goal of what the fund would try to do, and that is to help more 
families at the extremely-low-income figure, at 30 percent and 
below. ",33
NHTF Hearing.txt," I am here today to support H.R. 2895, 
the National Affordable Housing Trust Fund. 

I am also here today to share new evidence that shows that 
housing is the foundation to excellent child health. I hope to convince 
you that the best medical intervention for children is often 
finding them an affordable home, and it is within your power to 
keep kids healthy through housing. 

As many of you know, there are millions of families on affordable 
housing waiting lists. And in Boston, it is not unusual for waiting 
lists to actually close because there are so many families who are 
waiting and therefore they can’t even apply. Even families in homeless 
shelters are often there for over a year-and-a-half before they 
can get a home that they can afford. And often families who are 
on the waiting lists are forced to make terrible choices between 
rent and food, or settling on a home with severe housing problems 
like infestations or mold or lead paint because simply that is all 
that they can afford. 

We know from the Children’s Sentinel Nutrition Assessment Program, 
which is commonly known as CSNAP, that food-insecure 
children who are eligible but don’t receive housing subsidies are 
twice as likely as those who do receive housing subsidies to have 
stunted growth by WHO criteria. It is an important aspect of this 
bill because it targets the lowest income families, the ones that are 
most likely to have food-insecure children, and that by giving them 
an affordable home, you may be able to prevent stunting from occurring. 


As you know, stunting not only limits children’s physical growth 
in the short term, but it stunts their lifelong potential because we 
know that if your body is not growing, your mind is not growing 
as well. 

Because many families have very limited choices of homes that 
they can afford and have to make tradeoffs, they often live in substandard 
conditions. For instance, I think that the cockroach infestation 
is an excellent example of how that affects health. We know 
that children who have asthma who are exposed to cockroaches in 
their home and are allergic are 3 times more likely to end up in 
the hospital. 

It is also known that 30 percent of children who live in the urban 
areas are allergic, but it may be surprising to note that 20 percent 
of suburban children are also exposed and are allergic to cockroaches. 
And further, new data suggests that exposure to cockroaches 
in early life may actually cause immune system changes 
that can lead to the development of wheezing or asthma. 

Young children who live with other substandard exposures, such 
as lead paint from older homes, can also lead to problems with development, 
and recent estimates have estimated that this leads to 
billions of dollars in education and other costs. 

Lastly, families who have difficulty affording rent may double up 
with other families, resulting in crowding, or these families may 


67 


frequently move. We know children who stay in the same home 
and do not more frequently have better child development outcomes 
and do better in school. 

Another aspect of the bill that I think is excellent is the local 
flexibility. From my experience working in Boston with the Boston 
Public Health Commission, local community development corporations, 
and some State-funded housing developments, the ability for 
State or local governments to match the best local solution to the 
greatest housing needs makes the most sense. 

In some instances, rental housing needs are the most pressing. 
In others, home ownership may be the best outcome. And research 
has consistently shown that home ownership makes housing more 
stable and is better for overall health. In pediatrics, the best therapies 
are often tailored, and this bill clearly accommodates that. I 
urge you to support H.R. 2895, the National Affordable Housing 
Trust Fund bill, because it can ensure that our most vulnerable 
population, our children, have safe, decent, and affordable homes. ",32
NHTF Hearing.txt," I have a 23 percent minority 
area. I will be very honest with you. On the rentals in one of my 
areas, I would not put anybody in that. Those are Section 8 housing. 
I would not put anybody in those homes, in those particular 
apartment rentals. Looking at New York State, we have a shortage 
of 336,000 units of rental. ",32
NHTF Hearing.txt," I have made a commitment, not before 
this committee but before the Senate Appropriations and House 
Appropriations Committees that the fund will not go positive under 
my watch. When it comes time— 

The CHAIRMAN. That may seem direct to you, but it doesn’t to 
me. Are you planning in the near term to increase the FHA single 
family premium? 

Mr. MONTGOMERY. So I don’t have to ask Congress for $143 million 
in appropriation. Yes, sir. That’s what— ",32
CHRG-109hhrg30537.htm," I would like to quickly and straightforwardly address one 
of the questions you have had about the displacement of 
residents.
    Our primary concern with H.R. 5039, Mr. Chairman, is the 
fact that it, in fact, would potentially displace 110,000 
people, of which 50 percent are elderly and 10 percent are 
people with disabilities. We are extremely concerned about 
that. It puts the residents at the pleasure of the 
Congressional budget process, and at the pleasure of the 
Administration not potentially asking for sufficient funds to 
protect against displacement. We do not believe that should be 
happening.",32
CHRG-109hhrg30537.htm," I'd like to briefly share with the committee one of the 
most interesting observations of the study, ``If new funds are 
not invested in these properties, two-thirds of the portfolio 
will only be able to maintain its current status, which keep in 
mind is not good already for the majority properties. If the 
roofs never leak, the paint jobs last forever, the building 
siding is everlasting, no potholes ever develop in the parking 
lot, no one will ever need to replace a furnace or air 
conditioner, no doors will ever rust or rot, and all windows 
will work forever.''",32
