Document ,Excerpt Copy,Code
NHTF Hearing.txt," a trust fund has dedicated sources 
of revenue, and that the State and local trust funds that this actually 
does more closely resemble, the ones that have been the most 
successful and the ones that have been sustainable and the ones 
that have been able to really make a huge difference, are the ones 
that have dedicated sources of revenue. 

And generally, that is where folks have moved to. So we have 
just heard Mayor Euille describe what they did eventually to get 
to what it is that they are putting in there. And so that is why you 
create this and then you figure out what you are going to do with 
it. 

There are two objectives: One, getting more production dollars 
for ELI households; and two, having dedicated sources of revenue 
that we can rely on over time. ",18
NHTF Hearing.txt," add that having a National 
Housing Trust Fund, again, that can help supplement what we do 
on a State and local level will afford an opportunity for localities 
then to use their own tax general revenue dollars to help meet the 
needs of those who are being affected or impacted by predatory 
lending schemes and/or foreclosure. 

So it has a lot of benefits. But perhaps this piece of legislation 
will not directly address those needs, but certainly afford an opportunity 
for localities to then utilize some of their own dollars. ",18
NHTF Hearing.txt," Again, as part of the 2007 budget as well, a 
proposed increase on some multifamily programs. As you know, 
that rule was withdrawn. It came back. Some of the programs that 
would have been part of the original rule, as you know, were no 
longer part of the second. ",19
CHRG-110hhrg35406.htm," Also, we're not putting people in homes, Congresswoman, who 
really can't afford them. We are saying to them, it might take 
you a year through our program to get you ready for a home, but 
the moment you move in, you will be ready to keep that home and 
stabilize that home. I believe that clearly that is not the 
case that the Congresswoman talked about in the subprime 
market. They're going in and really--it's very disheartening 
what they're doing to a lot of people because, if you think 
about it, many of us are well educated, and we don't read all 
the papers when we sign a loan. So many of these people are not 
going to read the papers either, and they sign the loans and 
they get duped in other words.
    So our position is, is we're working with housing 
counseling groups around this country. They've been very, very 
accessible. We're working with a lot of faith-based groups 
around the country that are counseling people for housing. And 
we've seen the results. People are keeping their homes, the 
ones that we have worked with. We gave you an example of the 
21,000 who have gone through the housing counseling program and 
used the American Dream Down Payment.",19
HR1892 hearing.txt," And I am going to be working on an amendment 
that would be part of FHA, expanding it in a certain framework, 
so that daycare loans and financing could be there in a flexible 
way not only for new construction but for homes that are going 
to have licensed daycare in it.",19
NHTF Hearing.txt," Answer the question I just asked you. If we were 
to generate the new revenues that are in the bill and did not assign 
them to the housing trust fund, are you confident the Administration 
would ask they go to the FHA? ",18
NHTF Hearing.txt," As we have the trust fund bill now, there are two 
revenue sources, much more than half would come from the GSEs, 
and no one could argue that any of that money would otherwise go 
to HUD. That is money from Fannie Mae and Freddie Mac’s shareholders. ",18
HR1892 hearing.txt," believe that in 
dealing with people in the subprime category, we should extend to 
them the ability to go to the FHA and be helped. And if they make 
their payments like anybody else, they should not be charged more 
than anybody else. ",18
HR1892 hearing.txt," By far the fact that we are the most transparent 
loan process out there with the full faith and credit of the 

U.S. Government backing these loans. There are no surprises with 
an FHA loan between the no prepayment penalties, which are crippling 
families today, no teaser rates, no sticker shock. And, as I ref

20 


erenced earlier, no one has ever said, ‘‘I didn’t understand my FHA 
loan’’, because it is a back to basics approach. ",19
NHTF Hearing.txt," FHA premiums to provide money for the affordable housing 
fund, but you’re wanting the 17.5 percent increase on the multifamily, 
which is increasing it, and yet every year FHA makes a 
profit and it goes to the Treasury basically. 

I guess one problem I have is—I’m not arguing but I have a real 
problem with the comment you made on the downpayment assistance 
program that it’s very risky, and that’s the private sector 
helping with downpayment assistance for an individual. Yet the 
American Dream Downpayment Assistance Act, which is the government 
giving people for a downpayment is good. ",18
